Taxon,HI,HI_Source,Diet_Guild,Guild_Source,Alt_Diet_Guild
Petrogale_brachyotis,1.007425743,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Petrogale_cf_sp_indet,1.05342438,Couzens & Prideaux 2018,Unknown,NA,NA
Petrogale_godmani,1.82,Janis 1990,Mixed_Feeder,Janis 1990; Janis et al. 2016,NA
Petrogale_inornata,1.65,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016,NA
Petrogale_lateralis,1.207625706,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016,NA
Petrogale_penicillata,1.285883458,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Arman & Prideaux 2015,NA
Petrogale_purpureicollis,1.82,Petrogale godmani,Mixed_Feeder,NA,NA
Petrogale_rothschildi,1.4,Janis 1990,Mixed_Feeder,Janis 1990,NA
Petrogale_sp_indet,1.180091838,Couzens & Prideaux 2018,Unknown,NA,NA
Petrogale_sp_nov1,1.112616588,Couzens & Prideaux 2018,Unknown,NA,NA
Petrogale_sp_nov2,1.165477517,Couzens & Prideaux 2018,Unknown,NA,NA
Petrogale_xanthopus,1.21,Janis 1990,Mixed_Feeder,Janis 1990; Arman & Prideaux 2015,NA
Prionotemnus_palankarinnicus,1.022154294,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Prionotemnus_palankarinnicus_cf,1.057139008,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Protemnodon_anak,1.086956522,Protemnodon snewini,Browser,Dawson 2006,NA
Protemnodon_buloloensis,0.886612022,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Protemnodon_cf_sp_indet,1.081534772,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Protemnodon_devisi_cf,0.895278013,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Protemnodon_snewini,1.086956522,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Protemnodon_sp_indet,1.056727403,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Setonix_brachyurus,1.019671639,Couzens & Prideaux 2018,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Thylogale_billardierii,1.123133143,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Thylogale_billardierii_cf,1.327977044,Couzens & Prideaux 2018,Unknown,NA,NA
Thylogale_brunii,1,Janis 1990,Mixed_Feeder,Janis et al. 2016,NA
Thylogale_ignis,1.117206983,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Thylogale_ignis_cf,1.06601467,Couzens & Prideaux 2018,Mixed_Feeder,Dawson 2006,NA
Thylogale_sp_indet,1.035390145,Couzens & Prideaux 2018,Unknown,NA,NA
Thylogale_stigmatica,1.189571454,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Thylogale_thetis,1.165237908,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Wallabia_bicolor,1.121882601,Couzens & Prideaux 2018,Browser,Janis 1990 (Mixed_Feeder); Janis et al. 2016; Arman & Prideaux 2015 (Mixed_Feeder),Mixed_Feeder
Wallabia_sp_indet,1.239669421,Couzens & Prideaux 2018,Browser,Janis 1990 (Mixed_Feeder); Janis et al. 2016; Arman & Prideaux 2015 (Mixed_Feeder),Mixed_Feeder
