Taxon,HI,HI_Source,Diet_Guild,Guild_Source,Alt_Diet_Guild,min_HI,max_HI,mean_HI,lognormal_mean_error,lognormal_sd_error
Baringa_nelsonensis,1.325948038,Couzens & Prideaux 2018,Browser,Dawson 2006,NA,1.139959432,1.433862434,1.325948038,0.255807632,0.113996771
Baringa_sp_indet,1.139568249,Couzens & Prideaux 2018,Browser,Dawson 2006,NA,0.793103448,1.339407745,1.139568249,0.055689646,0.249494543
Bohra_bandharr,1.011976048,Couzens & Prideaux 2018,Unknown,NA,NA,1.011976048,1.011976048,1.011976048,0.011904903,NA
Bohra_illuminata,0.937313433,Couzens & Prideaux 2018,Unknown,NA,NA,0.937313433,0.937313433,0.937313433,-0.064737546,NA
Bohra_nullarbora,1.07229131,Couzens & Prideaux 2018,Unknown,NA,NA,0.996509599,1.148073022,1.07229131,0.067306672,0.070584682
Bohra_sp_indet,1.223463687,Couzens & Prideaux 2018,Unknown,NA,NA,1.223463687,1.223463687,1.223463687,0.201685924,NA
Bohra_wilkinsonorum_cf,0.767922236,Couzens & Prideaux 2018,Unknown,NA,NA,0.767922236,0.767922236,0.767922236,-0.264066807,NA
Congruus_indra,0.8528,Couzens & Prideaux 2018,Browser,Dawson 2006,NA,0.8528,0.8528,0.8528,-0.159230226,NA
Congruus_sp_indet,1.235294118,Couzens & Prideaux 2018,Unknown,NA,NA,1.235294118,1.235294118,1.235294118,0.211309094,NA
Dendrolagus_bennettianus,1.011588659,Couzens & Prideaux 2018,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,0.977722772,1.045454545,1.011588659,0.010961953,0.033468548
Dendrolagus_dorianus,0.94,Janis 1990,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,NA,NA,NA,NA,NA
Dendrolagus_goodfellowi,0.85,Janis 1990,Browser,Janis 1990; Arman & Prideaux 2015,NA,NA,NA,NA,NA,NA
Dendrolagus_inustus,0.889990907,Couzens & Prideaux 2018,Browser,Janis et al. 2016,NA,NA,NA,NA,NA,NA
Dendrolagus_lumholtzi,0.934272014,Couzens & Prideaux 2018,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,0.747767857,1.094736842,0.934272014,-0.094617004,0.185986639
Dendrolagus_matschiei,0.91,Janis 1990,Browser,Janis 1990; Janis et al. 2016,NA,NA,NA,NA,NA,NA
Dendrolagus_ursinus,0.8,Janis 1990,Browser,Janis 1990,NA,0.760869565,1.07748184,0.889990907,-0.110009568,0.173732508
Dorcopsis_hageni,0.88,Janis 1990,Browser,Janis 1990; Janis et al. 2016,NA,NA,NA,NA,NA,NA
Dorcopsis_luctosa,1.072653077,Couzens & Prideaux 2018,Browser,Groves & Flannery 1989,NA,1.026490066,1.152019002,1.072653077,0.078686939,0.05853697
Dorcopsis_muelleri,1.195599022,Couzens & Prideaux 2018,Browser,Janis et al. 2016,NA,1.195599022,1.195599022,1.195599022,0.178647333,NA
Dorcopsis_sp_indet,0.983796296,Couzens & Prideaux 2018,Browser,NA,NA,0.983796296,0.983796296,0.983796296,-0.016336419,NA
Dorcopsis_veterum,1.02,Janis 1990,Browser,Janis 1990,NA,NA,NA,NA,NA,NA
Dorcopsoides_fossilis,0.755431404,Couzens & Prideaux 2018,Browser,NA,NA,0.638623327,0.86,0.755431404,-0.296627775,0.146602751
Dorcopsulus_macleayi,0.92,Janis 1990,Unknown,Janis 1990; Janis et al. 2016,NA,NA,NA,NA,NA,NA
Dorcopsulus_vanheurni,0.97930398,Couzens & Prideaux 2018,Browser,Janis 1990; Janis et al. 2016,NA,0.882183908,1.12371134,0.97930398,-0.012349239,0.121683511
Kurrabi_mahoneyi,1.433121019,Couzens & Prideaux 2018,Browser,Dawson 2006,NA,1.433121019,1.433121019,1.433121019,0.359854597,NA
Kurrabi_merriwaensis,1.161290323,Couzens & Prideaux 2018,Browser,Dawson 2006,NA,1.161290323,1.161290323,1.161290323,0.149531734,NA
Kurrabi_merriwaensis_cf,1.081874848,Couzens & Prideaux 2018,Browser,Dawson 2006,NA,1.053977273,1.109772423,1.081874848,0.07836315,0.025782039
Kurrabi_pelchenorum,0.967104207,Couzens & Prideaux 2018,Browser,Dawson 2006,NA,0.762155059,1.086675291,0.967104207,-0.078375199,0.173534486
Kurrabi_sp_indet,1.078305624,Couzens & Prideaux 2018,Unknown,NA,NA,0.981651376,1.174959872,1.078305624,0.071389751,0.089456036
Lagorchestes_cf_sp_indet,1.114583333,Couzens & Prideaux 2018,Mixed_Feeder,NA,NA,1.114583333,1.114583333,1.114583333,0.108480643,NA
Lagorchestes_conspicillatus,1.137810748,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990 (Browser); Janis et al. 2016; Arman & Prideaux 2015,Browser,0.981776765,1.212616822,1.137810748,0.099431318,0.105739694
Lagorchestes_hirsutus,1.204778597,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990 (Browser); Janis et al. 2016; Arman & Prideaux 2015,Browser,0.988919668,1.601769912,1.204778597,0.205886231,0.242112579
Lagostrophus_fasciatus,1.16,Janis 1990,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,NA,NA,NA,NA,NA
Macropus_agilis,1.169200544,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015 (Grazer),Grazer,0.869218501,1.333958724,1.169200544,0.095506861,0.207359185
Macropus_antilopinus,1.23,Janis 1990,Grazer,Janis 1990 (Mixed_Feeder); Janis et al. 2016; Arman & Prideaux 2015,Mixed_Feeder,NA,NA,NA,NA,NA
Macropus_bernardus,1.12,Janis 1990,Grazer,Janis 1990 (Browser); Arman & Prideaux 2015,Browser,NA,NA,NA,NA,NA
Macropus_cf_sp_indet,1.092269327,Couzens & Prideaux 2018,Unknown,NA,NA,1.092269327,1.092269327,1.092269327,0.088257483,NA
Macropus_dorsalis,1.2,Janis 1990,Grazer,Janis 1990; Janis et al. 2016 (Mixed_Feeder); Arman & Prideaux 2015,Mixed_Feeder,NA,NA,NA,NA,NA
Macropus_dryas,1.039570347,Couzens & Prideaux 2018,Mixed_Feeder,Dawson 2006 (Pliocene),NA,0.884462151,1.14792176,1.039570347,0.01540923,0.128782039
Macropus_dryas_cf,1.172607749,Couzens & Prideaux 2018,Mixed_Feeder,Dawson 2006 (Pliocene),NA,1.093699515,1.282962963,1.172607749,0.16491171,0.080224853
Macropus_eugenii,1.110947776,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,0.92,1.299107143,1.110947776,0.090004257,0.169542029
Macropus_ferragus,1.045008183,Couzens & Prideaux 2018,Unknown,Dawson 2006,NA,1.045008183,1.045008183,1.045008183,0.044024716,NA
Macropus_ferragus_cf,1.175682163,Couzens & Prideaux 2018,Unknown,Dawson 2006,NA,1.112382934,1.238981391,1.175682163,0.160401244,0.053801469
Macropus_fuliginosus,1.36304428,Couzens & Prideaux 2018,Grazer,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,1.182989691,1.547418968,1.36304428,0.301938124,0.132954432
Macropus_giganteus,1.33,Janis 1990,Grazer,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,NA,NA,NA,NA,NA
Macropus_greyi,1.25,Janis 1990,Mixed_Feeder,Janis 1990,NA,NA,NA,NA,NA,NA
Macropus_irma,1.1372544,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,0.964586847,1.303719008,1.1372544,0.115762473,0.148557753
Macropus_parma,1.317604158,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990 (Grazer); Arman & Prideaux 2015,Grazer,1.229116945,1.406091371,1.317604158,0.27356505,0.067082122
Macropus_parryi,1.347574416,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,1.326164875,1.368983957,1.347574416,0.298180058,0.015886463
Macropus_pavana,1.182351106,Couzens & Prideaux 2018,Unknown,Dawson 2006 (Grazer in Pliocene),NA,1.051170859,1.313531353,1.182351106,0.161387692,0.110609465
Macropus_pearsoni,1.399824987,Couzens & Prideaux 2018,Grazer,Dawson 2006,NA,1.285242291,1.514407684,1.399824987,0.333008271,0.081718399
Macropus_robustus,1.241800252,Couzens & Prideaux 2018,Grazer,Janis 1990 (Mixed_Feeder); Janis et al. 2016; Arman & Prideaux 2015,Mixed_Feeder,1.041237113,1.377837116,1.241800252,0.189554098,0.138098964
Macropus_rufogriseus,1.35,Janis 1990,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,NA,NA,NA,NA,NA
Macropus_rufus,1.397882544,Couzens & Prideaux 2018,Grazer,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,1.234615385,1.632653061,1.397882544,0.34205882,0.140046235
Macropus_sp_indet,1.293199605,Couzens & Prideaux 2018,Unknown,NA,NA,1.123039807,1.47515528,1.293199605,0.251024656,0.135134607
